School Year,Data Level,Public Or Independent,District Number,District Name,Mincode,School Name,Num Of Schools In Data Level,Total Classes,Classes With Ed Assist,Total Classes Greater 30,Avg Class Size K,Avg Class Size 1 3,Avg Class Size 4 7,Avg Class Size 8 12
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,7,,15,21,26.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,6,,15,19.4,23.3,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,,,16.5,19.4,21.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,6,,17,20.8,22.8,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,7,,18.5,17.8,25.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,11,,12.5,19.4,25.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,11,9,,17.6,20.7,24.8,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,501017,Rocky Mountain Elementary,1,10,4,,20.4,20.6,23.6,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,174,31,4,,,,23.6
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,196,35,5,,,,24.9
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,154,39,8,,,,25.7
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,185,,12,,,,28.6
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,195,1,10,,,,24.8
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,188,37,3,,,,24.1
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,166,39,6,,,,25.1
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,188,55,6,,,,23
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502001,Mount Baker Secondary,1,219,70,5,,,,20.7
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,187,38,3,,,26.1,20.8
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,185,63,1,,,20.6,23.2
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,135,66,,,,25.5,25.4
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,126,56,1,,,22.8,24.4
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,128,61,1,,,19.6,26.2
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,147,34,2,,,21.6,21.9
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,144,36,1,,,23.1,19.6
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,157,132,,,,22,21.3
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502011,Laurie Middle School,1,169,109,1,,,25.5,18.1
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,11,11,,18.5,23.5,27.8,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,11,10,,16.5,21.7,27.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,10,8,,22,20.6,22.8,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,10,10,,22,18.2,21,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,9,8,,21,22.7,26.9,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,11,11,,21,17.8,24.8,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,12,10,,17,19.4,24.6,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,12,12,,20,18.4,23,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502023,Amy Woodland Elementary,1,12,12,,17.5,20.6,23.2,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,16,11,,19.3,21.3,22.1,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,17,15,,16.7,20,24.3,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,18,9,,15.3,20.3,23.9,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,17,8,,16.7,20.6,22.3,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,16,,,16.7,20.1,24.9,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,16,8,,18.3,20.3,23.6,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,16,11,,17.7,20.6,25.4,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,16,9,,20.3,21.8,24.6,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502024,T M Roberts Elementary,1,17,9,,15.7,21.5,22.2,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,11,11,,13,21.6,29.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,11,11,,20,22.4,29,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,12,12,,20,23.6,26.8,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,12,12,,15.5,21.8,27.7,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,12,,,22,23,25.6,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,12,12,,17.5,22.8,27.2,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,12,12,,15.5,20.7,28.4,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,12,12,,16.5,22.8,26.2,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502028,Gordon Terrace Elementary,1,11,10,,22,21.4,27.7,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,11,7,,21,21.2,25.6,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,12,8,,17.5,21.2,24,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,10,4,,22,22.8,26.4,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,10,5,,22,19.4,24.9,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,10,6,,16,20.3,25.5,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,10,8,,18,22,25.3,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,10,5,,20,22.3,24.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,11,10,,16,22.1,26.6,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502029,Highlands Elementary,1,11,8,,17.5,22.7,27.9,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,7,7,,21,22,17.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,6,6,,13,23.4,23.8,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,7,6,,22,19.7,20.7,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,7,6,,14,18.3,24.7,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,7,,,19,16.7,21.7,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,6,5,,21,18.3,26.5,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,6,6,,14,17.7,27.5,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,6,5,,12,15.7,25.5,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502030,Pinewood Elementary,1,5,5,,17,22.5,27.5,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,10,8,,14,18.8,22,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,9,8,,21,18.8,24.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,8,6,,22,22.3,20.5,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,8,8,,22,19.5,26.7,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,8,,,22,18,25.7,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,8,8,,22,17.3,20.9,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,8,8,,13.5,18.7,18.7,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,6,6,,22,21,28,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502031,Steeples Elementary,1,7,7,,19.2,19.9,25.2,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,7,6,,22,19,26.3,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,8,8,,22,21.3,24.5,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,10,9,,19.5,19.5,22.3,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,10,8,,17.5,21.3,25.1,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,10,,,17.5,22.2,25.1,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,10,9,,16.5,21.2,26,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,10,9,,14,22,26,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,10,10,,17,24,25,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,502032,Kootenay Orchards Elementary,1,10,10,,19,22.8,27,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,166,47,,,,24.9,22
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,192,64,12,,,28.8,24.5
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,149,61,5,,,26.7,24.1
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,160,64,7,,,29.3,23.9
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,177,101,3,,,21.8,24.5
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,136,68,3,,,24.8,25.7
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,194,87,2,,,22.4,22.6
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,213,69,3,,,23.7,22.9
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505018,Parkland Middle School,1,217,61,6,,,24.2,23.6
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505032,Fernie Secondary School,1,93,23,2,,,,19.8
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505032,Fernie Secondary School,1,83,22,2,,,,21.2
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,69,14,1,,,18,15.7
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,105,16,,,,16.3,13.2
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,84,12,,,,18.5,13.7
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,92,,2,,,19.2,16
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,98,5,2,,,17.1,13.2
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,77,7,,,,13.7,13
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,86,16,,,,19.5,13.9
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505033,Elkford Elementary Secondary,1,86,15,,,,19.5,15
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505034,Fernie Secondary,1,122,52,2,,,20.3,19.3
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505034,Fernie Secondary,1,108,32,7,,,21.3,23.8
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505034,Fernie Secondary,1,92,31,,,,16.7,21.4
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505034,Fernie Secondary,1,100,23,,,,21.1,17.9
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505034,Fernie Secondary,1,115,45,,,,22,15.7
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505034,Fernie Secondary,1,95,32,2,,,24,18.3
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505034,Fernie Secondary,1,79,20,1,,,18.4,20.8
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505035,Sparwood Secondary,1,104,20,,,,22,18
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505035,Sparwood Secondary,1,90,10,,,,23.4,20.2
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505035,Sparwood Secondary,1,104,16,,,,24.6,15.7
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505035,Sparwood Secondary,1,83,21,,,,21.4,18.9
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505035,Sparwood Secondary,1,95,20,,,,19.4,17.8
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505035,Sparwood Secondary,1,113,29,,,,17.5,15.4
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,5,Southeast Kootenay,505035,Sparwood Secondary,1,115,26,,,,25.3,15.2
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,6,1,,19.6,22.5,,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,6,6,,13.5,21.8,,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,6,6,,20.7,20.9,,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,6,4,,19.5,23,,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,6,6,,16.5,24,,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,7,5,,18.5,22.6,,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,7,6,,20,22.4,,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,8,6,,17.5,20.8,,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603005,Marysville Elementary,1,8,7,,19,18.8,,
2006/2007,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,6,6,,18.8,20.8,,
2007/2008,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,7,7,,17,18.6,,
2008/2009,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,7,,,17.5,19.8,,
2009/2010,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,7,,,19.5,20.6,,
2010/2011,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,7,7,,21,21,,
2011/2012,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,7,,,18,22.8,,
2012/2013,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,7,6,,21,21.6,,
2013/2014,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,7,7,,21.5,22.8,,
2014/2015,SCHOOL LEVEL,BC PUBLIC SCHOOL,6,Rocky Mountain,603007,Lindsay Park Elementary,1,8,,,20,21.4,,
